spark.executor.memory,spark.executor.memoryOverhead,spark.executor.cores,spark.executor.instances,spark.shuffle.file.buffer,spark.default.parallelism,spark.shuffle.io.numConnectionsPerPeer,runtime
7.0,755.0,3.0,7.0,31.0,263.0,4.0,291.4766610037447
4.0,516.0,3.0,7.0,32.0,251.0,4.0,291.4766610037447
7.0,786.0,4.0,4.0,31.0,208.0,5.0,291.4766610037447
6.0,662.0,4.0,7.0,17.0,357.0,3.0,291.4766610037447
4.0,417.0,3.0,5.0,32.0,275.0,4.0,291.4766610037447
6.0,479.0,4.0,8.0,32.0,278.0,4.0,291.4766610037447
3.0,856.0,3.0,5.0,22.0,262.0,4.0,291.4766610037447
6.0,708.0,4.0,5.0,45.0,418.0,3.0,291.4766610037447
3.0,792.0,4.0,6.0,31.0,374.0,3.0,291.4766610037447
5.0,839.0,3.0,5.0,22.0,382.0,3.0,291.4766610037447
4.0,772.0,3.0,7.0,24.0,268.0,3.0,291.4766610037447
3.0,409.0,4.0,4.0,24.0,459.0,5.0,291.4766610037447
5.0,456.0,4.0,5.0,46.0,316.0,3.0,291.4766610037447
4.0,638.0,4.0,5.0,24.0,367.0,4.0,291.4766610037447
4.0,728.0,3.0,5.0,45.0,400.0,4.0,291.4766610037447
5.0,819.0,3.0,7.0,43.0,250.0,3.0,291.4766610037447
5.0,404.0,4.0,4.0,29.0,231.0,4.0,291.4766610037447
6.0,529.0,3.0,8.0,45.0,400.0,5.0,291.4766610037447
5.0,832.0,3.0,6.0,45.0,400.0,5.0,291.4766610037447
5.0,804.0,3.0,7.0,30.0,481.0,4.0,291.4766610037447
4.0,594.0,3.0,7.0,29.0,465.0,4.0,291.4766610037447
4.0,738.0,3.0,5.0,30.0,348.0,4.0,291.4766610037447
4.0,483.0,3.0,4.0,45.0,423.0,4.0,291.4766610037447
4.0,764.0,4.0,8.0,23.0,353.0,4.0,291.4766610037447
3.0,594.0,3.0,6.0,22.0,368.0,4.0,291.4766610037447
4.0,535.0,3.0,8.0,31.0,368.0,4.0,291.4766610037447
3.0,566.0,4.0,7.0,26.0,292.0,5.0,291.4766610037447
6.0,731.0,4.0,7.0,47.0,273.0,3.0,291.4766610037447
4.0,436.0,3.0,8.0,41.0,400.0,4.0,291.4766610037447
5.0,678.0,4.0,5.0,44.0,310.0,3.0,291.4766610037447
