spark.executor.instances,spark.executor.cores,spark.executor.memory,runtime
8.0,4.0,7.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
8.0,4.0,5.0,241.35890909090912
8.0,4.0,3.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
8.0,4.0,5.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
8.0,4.0,6.0,241.35890909090912
6.0,4.0,4.0,251.62976923076923
8.0,4.0,7.0,241.35890909090912
6.0,4.0,7.0,251.62976923076923
8.0,4.0,7.0,241.35890909090912
6.0,4.0,5.0,251.62976923076923
8.0,4.0,4.0,241.35890909090912
8.0,4.0,7.0,241.35890909090912
8.0,4.0,7.0,241.35890909090912
8.0,4.0,6.0,241.35890909090912
8.0,4.0,5.0,241.35890909090912
8.0,4.0,6.0,241.35890909090912
8.0,4.0,6.0,241.35890909090912
8.0,4.0,6.0,241.35890909090912
8.0,4.0,3.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
8.0,4.0,7.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
8.0,4.0,6.0,241.35890909090912
6.0,4.0,4.0,251.62976923076923
8.0,4.0,5.0,241.35890909090912
8.0,4.0,4.0,241.35890909090912
