spark.executor.cores,spark.executor.memory,spark.shuffle.io.numConnectionsPerPeer,spark.executor.instances,runtime
3.0,6.0,4.0,6.0,209.9780628257292
2.0,6.0,4.0,8.0,202.57848400869437
3.0,7.0,5.0,8.0,199.29085501867524
4.0,7.0,4.0,8.0,196.76803512214948
4.0,6.0,4.0,8.0,191.30688658301628
3.0,4.0,5.0,8.0,200.42275477033286
3.0,6.0,4.0,8.0,191.30688658301628
3.0,6.0,4.0,8.0,191.30688658301628
3.0,6.0,4.0,8.0,191.30688658301628
3.0,6.0,4.0,8.0,191.30688658301628
3.0,7.0,4.0,8.0,196.76803512214948
3.0,7.0,4.0,8.0,196.76803512214948
4.0,6.0,4.0,6.0,209.9780628257292
4.0,6.0,4.0,6.0,209.9780628257292
4.0,5.0,5.0,8.0,203.8092929017829
3.0,6.0,5.0,8.0,193.82970647954204
3.0,5.0,5.0,8.0,203.8092929017829
3.0,6.0,4.0,8.0,191.30688658301628
4.0,6.0,4.0,8.0,191.30688658301628
3.0,6.0,5.0,5.0,212.46622578406806
4.0,7.0,4.0,8.0,196.76803512214948
4.0,6.0,5.0,8.0,193.82970647954204
4.0,6.0,4.0,8.0,191.30688658301628
4.0,6.0,5.0,8.0,193.82970647954204
4.0,6.0,4.0,8.0,191.30688658301628
4.0,7.0,4.0,8.0,196.76803512214948
4.0,4.0,4.0,8.0,199.32178418837066
4.0,4.0,5.0,8.0,200.42275477033286
4.0,6.0,5.0,8.0,193.82970647954204
3.0,6.0,4.0,8.0,191.30688658301628
