spark.shuffle.compress,spark.kryoserializer.buffer.max,spark.executor.memory,spark.maxRemoteBlockSizeFetchToMem,spark.executor.cores,spark.scheduler.revive.interval,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.storageFraction,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer,spark.memory.offHeap.size,spark.shuffle.file.buffer,spark.memory.fraction,runtime
1.0,128.0,12.0,1076295514.0,7.0,729.0,2147483647.0,0.5634920634920635,500.0,66.0,26.0,48.0,0.6142857142857143,295.54751612903226
1.0,93.0,12.0,1344731475.0,7.0,729.0,2147483647.0,0.5634920634920635,500.0,114.0,882.0,48.0,0.607936507936508,293.24719047619044
1.0,128.0,14.0,2064249363.0,7.0,985.0,2147483647.0,0.8174603174603174,500.0,39.0,229.0,48.0,0.5507936507936508,295.36139999999995
1.0,128.0,14.0,1206547432.0,7.0,985.0,2147483647.0,0.6841269841269841,305.0,128.0,1024.0,48.0,0.6015873015873016,286.01651162790694
1.0,128.0,12.0,1957137868.0,7.0,603.0,1244983746.0,0.7031746031746031,377.0,43.0,626.0,48.0,0.6206349206349207,279.7798260869565
1.0,112.0,12.0,2059589830.0,7.0,512.0,1244983355.0,0.7031746031746031,377.0,43.0,626.0,48.0,0.6206349206349207,279.7798260869565
1.0,64.0,12.0,2126706886.0,7.0,526.0,2147483647.0,0.7031746031746031,377.0,43.0,626.0,48.0,0.6206349206349207,279.7798260869565
1.0,128.0,8.0,1594375799.0,7.0,529.0,2147483647.0,0.7603174603174603,373.0,42.0,228.0,48.0,0.607936507936508,279.7798260869565
1.0,55.0,12.0,1881741127.0,7.0,518.0,1230305323.0,0.7031746031746031,334.0,41.0,626.0,48.0,0.626984126984127,279.7798260869565
1.0,103.0,8.0,1495277406.0,6.0,726.0,2147483647.0,0.753968253968254,398.0,43.0,629.0,48.0,0.6142857142857143,279.7798260869565
1.0,104.0,12.0,1467611424.0,7.0,514.0,2147483647.0,0.7031746031746031,329.0,38.0,397.0,48.0,0.6142857142857143,279.7798260869565
1.0,102.0,8.0,1463038127.0,6.0,856.0,1554051437.0,0.753968253968254,398.0,43.0,629.0,48.0,0.6142857142857143,279.7798260869565
1.0,101.0,11.0,1462968343.0,7.0,826.0,2147483647.0,0.7603174603174603,398.0,42.0,586.0,48.0,0.6142857142857143,279.7798260869565
1.0,88.0,10.0,1505590715.0,7.0,723.0,2147483647.0,0.7603174603174603,398.0,35.0,629.0,48.0,0.607936507936508,275.4105925925926
1.0,87.0,10.0,1501398458.0,7.0,723.0,2147483647.0,0.7603174603174603,398.0,35.0,629.0,48.0,0.607936507936508,275.4105925925926
1.0,97.0,8.0,1176832492.0,6.0,779.0,2147483647.0,0.7222222222222222,378.0,41.0,848.0,48.0,0.6206349206349207,279.7798260869565
1.0,68.0,11.0,1288207328.0,7.0,785.0,2147483647.0,0.6714285714285715,393.0,37.0,693.0,25.0,0.6206349206349207,279.7798260869565
1.0,69.0,8.0,1128825823.0,7.0,785.0,2147483647.0,0.665079365079365,392.0,37.0,1024.0,25.0,0.6206349206349207,279.7798260869565
1.0,64.0,11.0,1288158720.0,7.0,766.0,2147483647.0,0.6777777777777778,393.0,37.0,694.0,25.0,0.6206349206349207,279.7798260869565
1.0,128.0,12.0,1186920605.0,6.0,784.0,2147483647.0,0.6777777777777778,396.0,32.0,693.0,31.0,0.6396825396825396,279.7798260869565
1.0,83.0,9.0,2072980342.0,7.0,719.0,2131277007.0,0.7476190476190476,377.0,37.0,330.0,48.0,0.5761904761904761,279.7798260869565
1.0,92.0,14.0,2074028680.0,7.0,791.0,2138092583.0,0.7412698412698413,398.0,37.0,341.0,48.0,0.5761904761904761,279.7798260869565
1.0,87.0,12.0,1685870154.0,6.0,952.0,2147483647.0,0.6396825396825396,387.0,42.0,1024.0,48.0,0.5761904761904761,279.7798260869565
1.0,87.0,14.0,2011114101.0,7.0,791.0,1892813134.0,0.753968253968254,330.0,40.0,489.0,48.0,0.5761904761904761,279.7798260869565
1.0,104.0,14.0,1786030514.0,6.0,530.0,2147483647.0,0.7603174603174603,323.0,43.0,1024.0,48.0,0.5761904761904761,279.7798260869565
1.0,128.0,11.0,1194365979.0,6.0,726.0,2147483647.0,0.7603174603174603,323.0,41.0,488.0,28.0,0.5634920634920635,279.7798260869565
1.0,100.0,10.0,1186017342.0,6.0,709.0,2147483647.0,0.7603174603174603,396.0,33.0,407.0,48.0,0.5825396825396826,279.7798260869565
1.0,128.0,9.0,1119726938.0,7.0,780.0,2147483647.0,0.6396825396825396,364.0,42.0,1024.0,44.0,0.5888888888888889,279.7798260869565
1.0,111.0,10.0,1481569599.0,6.0,738.0,2147483647.0,0.7603174603174603,378.0,45.0,1024.0,44.0,0.5888888888888889,279.7798260869565
1.0,91.0,12.0,2089759882.0,6.0,714.0,2147483647.0,0.5507936507936508,311.0,37.0,1024.0,48.0,0.6206349206349207,279.7798260869565
