spark.executor.cores,spark.kryoserializer.buffer.max,spark.locality.wait,spark.executor.memoryOverhead,spark.broadcast.checksum,spark.maxRemoteBlockSizeFetchToMem,spark.broadcast.blockSize,spark.rdd.compress,spark.shuffle.sort.bypassMergeThreshold,spark.default.parallelism,spark.shuffle.io.numConnectionsPerPeer,runtime
6.0,128.0,5.0,918.0,0.0,1818636436.0,7.0,1.0,405.0,264.0,5.0,173.25081723427394
7.0,95.0,10.0,703.0,0.0,1636914807.0,63.0,1.0,500.0,500.0,5.0,281.2167222176369
6.0,82.0,7.0,1755.0,0.0,1954988997.0,10.0,1.0,341.0,500.0,3.0,111.72619299319925
5.0,128.0,4.0,1755.0,0.0,1596301427.0,36.0,1.0,500.0,349.0,1.0,284.7537746628245
6.0,86.0,7.0,1755.0,0.0,1954988997.0,10.0,1.0,341.0,500.0,3.0,111.72619299319925
4.0,128.0,4.0,1755.0,0.0,1625185643.0,36.0,0.0,500.0,356.0,5.0,331.6305507252927
6.0,86.0,7.0,1755.0,0.0,1954988997.0,10.0,1.0,341.0,500.0,3.0,111.72619299319925
4.0,128.0,4.0,1755.0,0.0,1641259958.0,36.0,0.0,500.0,356.0,5.0,331.6305507252927
7.0,86.0,7.0,1755.0,1.0,1266224412.0,10.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,4.0,1439.0,0.0,1641259958.0,36.0,0.0,500.0,487.0,5.0,349.7644613423547
7.0,86.0,7.0,1755.0,1.0,1261761820.0,10.0,1.0,341.0,274.0,2.0,106.84127993261775
5.0,128.0,10.0,1376.0,0.0,1636933669.0,36.0,0.0,500.0,349.0,1.0,400.2805321188129
7.0,86.0,7.0,1755.0,1.0,1263471899.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
4.0,128.0,10.0,1376.0,0.0,1642438693.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1077.0,1.0,1266224696.0,10.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1641259958.0,36.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262030108.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1641176501.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262029538.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1642176437.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262161163.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1636934567.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262030108.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1642964117.0,12.0,0.0,500.0,356.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262029084.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1642307493.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262160443.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1641128886.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
7.0,86.0,7.0,1755.0,1.0,1262029810.0,34.0,1.0,341.0,500.0,2.0,124.97519054967981
5.0,128.0,10.0,1376.0,0.0,1636982120.0,12.0,0.0,500.0,359.0,5.0,408.46238731414115
