,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,343.909,182.805,96.409,354.953,58.911,65.357,82.665,77.975,73.303,73.707,66.66,114.55,149.454,116.458,63.628,123.944,64.036,72.736,73.64,76.549,194.139,231.854,226.121,75.701,61.841,62.272,73.532,78.343,165.743,65.56
1,103.864,54.222,75.409,74.819,77.678,72.161,62.431,74.443,54.11,69.815,79.131,69.888,67.193,115.127,72.472,58.257,65.564,59.255,62.41,75.5,71.0,71.83,58.705,71.448,71.699,65.462,68.336,71.508,58.773,58.226
2,76.101,55.073,61.692,61.645,68.765,53.69,58.365,69.127,65.126,144.403,65.3,60.229,60.54,102.045,91.402,69.056,78.813,60.008,54.353,66.286,51.109,73.205,65.381,63.142,61.797,57.57,61.574,64.296,66.016,56.803
3,60.671,58.058,66.299,62.459,72.537,75.987,67.109,63.442,54.633,56.721,61.86,66.502,66.974,62.544,58.222,64.718,62.791,55.226,63.727,58.676,53.437,62.199,65.356,63.124,56.339,64.692,61.67,54.661,64.081,69.789
4,66.934,56.79,61.259,80.459,60.413,60.784,64.421,57.684,56.117,61.208,59.118,63.267,59.485,57.095,59.747,60.123,62.905,59.94,60.109,64.966,64.243,65.971,59.803,59.159,71.169,61.725,59.474,65.124,64.342,53.454
5,52.528,53.299,62.177,55.54,61.415,57.412,54.107,59.93,55.318,61.705,58.92,61.164,52.85,57.744,58.715,56.45,65.044,58.001,59.59,60.097,53.016,61.043,59.309,57.517,50.718,57.22,72.571,74.887,67.828,65.934
6,57.1,68.402,51.179,61.314,55.307,60.086,57.985,55.664,58.421,69.074,78.92,59.892,59.771,82.767,53.707,56.062,56.442,54.208,59.832,61.664,76.776,61.652,54.816,56.493,62.379,57.207,53.269,64.56,50.949,79.078
7,56.555,67.205,53.382,54.552,65.336,53.01,52.942,59.272,53.896,57.572,70.212,66.349,59.272,60.296,78.909,51.94,52.966,60.291,62.701,56.172,58.182,55.858,64.862,57.557,61.394,56.474,59.449,63.547,67.023,78.206
8,52.893,69.411,63.908,57.857,54.493,58.503,54.791,57.18,63.659,77.216,59.972,53.572,60.139,54.791,82.228,74.437,52.638,60.504,74.941,56.172,62.741,51.943,57.043,49.807,74.01,61.906,58.745,62.273,58.986,54.317
9,56.666,52.767,66.838,54.128,75.476,53.938,55.47,62.541,57.451,57.993,64.202,61.598,56.455,53.838,55.703,58.871,72.896,56.748,57.422,67.475,59.166,63.926,59.697,83.128,53.882,57.971,64.461,59.066,67.01,60.712
