spark.executor.memory,spark.kryoserializer.buffer,spark.executor.cores,spark.executor.memoryOverhead,spark.shuffle.compress,runtime
14.0,110.0,7.0,1691.0,1.0,302.61975
13.0,104.0,6.0,439.0,1.0,302.61975
12.0,104.0,7.0,878.0,0.0,302.61975
14.0,112.0,7.0,937.0,1.0,302.61975
12.0,104.0,7.0,1629.0,1.0,302.61975
14.0,106.0,6.0,567.0,0.0,302.61975
14.0,111.0,6.0,1291.0,1.0,302.61975
14.0,113.0,6.0,970.0,0.0,302.61975
12.0,111.0,7.0,407.0,0.0,302.61975
12.0,111.0,6.0,563.0,0.0,302.61975
14.0,111.0,6.0,1066.0,0.0,302.61975
13.0,111.0,7.0,672.0,0.0,302.61975
14.0,109.0,7.0,1498.0,0.0,302.61975
13.0,111.0,6.0,812.0,0.0,302.61975
12.0,105.0,7.0,918.0,0.0,302.61975
12.0,111.0,6.0,1051.0,1.0,302.61975
14.0,113.0,6.0,626.0,0.0,302.61975
13.0,107.0,6.0,917.0,0.0,302.61975
13.0,109.0,6.0,574.0,1.0,302.61975
14.0,105.0,7.0,1592.0,1.0,302.61975
13.0,108.0,6.0,783.0,1.0,302.61975
14.0,111.0,6.0,1172.0,0.0,302.61975
13.0,111.0,7.0,1502.0,0.0,302.61975
13.0,111.0,7.0,827.0,0.0,302.61975
12.0,105.0,6.0,580.0,0.0,302.61975
12.0,104.0,7.0,633.0,1.0,302.61975
14.0,108.0,7.0,1626.0,0.0,302.61975
14.0,109.0,6.0,785.0,0.0,302.61975
14.0,109.0,6.0,675.0,0.0,302.61975
13.0,112.0,6.0,804.0,0.0,302.61975
