spark.executor.cores,spark.shuffle.sort.bypassMergeThreshold,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.shuffle.compress,spark.memory.fraction,spark.executor.memoryOverhead,spark.kryoserializer.buffer,runtime
7.0,370.0,388.0,61.0,0.0,0.5952380952380952,965.0,121.0,71.60250799493
6.0,354.0,500.0,59.0,0.0,0.6015873015873016,718.0,33.0,83.08737898503713
6.0,297.0,450.0,114.0,0.0,0.6777777777777778,1574.0,112.0,75.3691269388623
4.0,403.0,244.0,77.0,1.0,0.6777777777777778,1083.0,38.0,144.23507484775052
6.0,303.0,500.0,120.0,0.0,0.8492063492063493,1755.0,107.0,75.3691269388623
7.0,469.0,434.0,103.0,1.0,0.8301587301587301,1038.0,62.0,125.94832370929522
5.0,136.0,500.0,120.0,0.0,0.7603174603174603,1755.0,108.0,75.3691269388623
7.0,469.0,313.0,83.0,1.0,0.5698412698412698,1065.0,38.0,144.23507484775052
5.0,136.0,492.0,128.0,0.0,0.753968253968254,1755.0,107.0,75.3691269388623
7.0,437.0,434.0,44.0,1.0,0.5190476190476191,1075.0,62.0,144.23507484775052
5.0,104.0,500.0,38.0,0.0,0.7158730158730159,1755.0,108.0,75.3691269388623
7.0,469.0,298.0,51.0,1.0,0.5190476190476191,1083.0,38.0,144.23507484775052
6.0,136.0,488.0,120.0,0.0,0.7603174603174603,1755.0,115.0,75.3691269388623
4.0,468.0,229.0,115.0,1.0,0.5507936507936508,1084.0,38.0,144.23507484775052
6.0,104.0,500.0,57.0,0.0,0.7031746031746031,1755.0,116.0,75.3691269388623
7.0,370.0,438.0,90.0,1.0,0.5190476190476191,1078.0,57.0,144.23507484775052
5.0,136.0,500.0,57.0,0.0,0.753968253968254,1755.0,115.0,75.3691269388623
7.0,370.0,434.0,77.0,1.0,0.5126984126984127,1083.0,33.0,144.23507484775052
6.0,137.0,500.0,38.0,0.0,0.7984126984126985,1755.0,115.0,75.3691269388623
7.0,365.0,432.0,108.0,1.0,0.5507936507936508,1065.0,57.0,144.23507484775052
6.0,136.0,500.0,128.0,0.0,0.7857142857142858,1755.0,116.0,75.3691269388623
4.0,365.0,217.0,90.0,1.0,0.5444444444444444,1083.0,33.0,144.23507484775052
6.0,137.0,500.0,56.0,0.0,0.7603174603174603,1755.0,116.0,75.3691269388623
4.0,468.0,221.0,109.0,1.0,0.5190476190476191,1076.0,33.0,144.23507484775052
6.0,137.0,500.0,128.0,0.0,0.7603174603174603,1755.0,116.0,75.3691269388623
4.0,468.0,229.0,91.0,1.0,0.5190476190476191,1083.0,33.0,144.23507484775052
6.0,137.0,500.0,128.0,0.0,0.7603174603174603,1755.0,116.0,75.3691269388623
4.0,468.0,221.0,91.0,1.0,0.5761904761904761,1083.0,33.0,144.23507484775052
6.0,136.0,500.0,128.0,0.0,0.7857142857142858,1755.0,116.0,75.3691269388623
7.0,468.0,226.0,82.0,1.0,0.5507936507936508,1083.0,33.0,144.23507484775052
