spark.executor.memory,spark.shuffle.compress,runtime
12.0,0.0,507.10196
11.0,1.0,507.10196
14.0,0.0,507.10196
11.0,0.0,507.10196
14.0,1.0,507.10196
14.0,1.0,507.10196
12.0,1.0,507.10196
14.0,1.0,507.10196
13.0,0.0,507.10196
10.0,1.0,507.10196
12.0,1.0,507.10196
11.0,0.0,507.10196
9.0,0.0,507.10196
12.0,0.0,507.10196
14.0,0.0,507.10196
12.0,0.0,507.10196
9.0,1.0,507.10196
14.0,0.0,507.10196
14.0,1.0,507.10196
11.0,0.0,507.10196
14.0,0.0,507.10196
8.0,1.0,507.10196
13.0,0.0,507.10196
8.0,1.0,507.10196
11.0,0.0,507.10196
9.0,0.0,507.10196
14.0,1.0,507.10196
14.0,1.0,507.10196
14.0,1.0,507.10196
9.0,0.0,507.10196
