spark.executor.cores,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer,runtime
7.0,334.0,32.0,88.0,274.7562
7.0,494.0,71.0,74.0,274.7562
7.0,219.0,32.0,59.0,274.7562
7.0,306.0,61.0,77.0,274.7562
6.0,464.0,51.0,77.0,274.7562
6.0,403.0,48.0,80.0,274.7562
7.0,219.0,45.0,55.0,274.7562
7.0,459.0,26.0,58.0,274.7562
7.0,351.0,38.0,58.0,274.7562
6.0,284.0,60.0,80.0,274.7562
6.0,299.0,61.0,77.0,274.7562
7.0,329.0,24.0,77.0,274.7562
6.0,294.0,63.0,74.0,274.7562
6.0,458.0,31.0,74.0,274.7562
6.0,455.0,27.0,76.0,274.7562
7.0,218.0,65.0,76.0,274.7562
6.0,455.0,48.0,77.0,274.7562
7.0,229.0,51.0,76.0,274.7562
7.0,479.0,62.0,78.0,274.7562
6.0,357.0,29.0,74.0,274.7562
7.0,242.0,59.0,71.0,274.7562
6.0,457.0,53.0,72.0,274.7562
7.0,445.0,24.0,74.0,274.7562
6.0,373.0,36.0,74.0,274.7562
6.0,266.0,37.0,74.0,274.7562
7.0,301.0,35.0,72.0,274.7562
7.0,430.0,58.0,74.0,274.7562
7.0,355.0,58.0,74.0,274.7562
6.0,420.0,32.0,78.0,274.7562
6.0,438.0,44.0,79.0,274.7562
