spark.memory.fraction,spark.executor.cores,spark.memory.storageFraction,runtime
0.7158730158730159,4.0,0.5761904761904761,415.4220852536967
0.7920634920634921,5.0,0.5126984126984127,415.4220852536967
0.6460317460317461,5.0,0.5,415.4220852536967
0.7603174603174603,4.0,0.8301587301587301,482.71812289291734
0.734920634920635,4.0,0.5634920634920635,415.4220852536967
0.753968253968254,5.0,0.8365079365079365,482.71812289291734
0.5190476190476191,4.0,0.6460317460317461,415.4220852536967
0.8809523809523809,5.0,0.8111111111111111,482.71812289291734
0.6396825396825396,7.0,0.607936507936508,415.4220852536967
0.8873015873015873,7.0,0.8936507936507936,482.71812289291734
0.5126984126984127,6.0,0.5952380952380952,415.4220852536967
0.8555555555555556,5.0,0.8301587301587301,482.71812289291734
0.5444444444444444,4.0,0.5698412698412698,415.4220852536967
0.753968253968254,7.0,0.7031746031746031,477.6378971613588
0.5444444444444444,4.0,0.5698412698412698,415.4220852536967
0.753968253968254,7.0,0.9,482.71812289291734
0.6460317460317461,6.0,0.5698412698412698,415.4220852536967
0.7031746031746031,4.0,0.7793650793650794,482.71812289291734
0.6460317460317461,4.0,0.5253968253968254,415.4220852536967
0.753968253968254,4.0,0.8174603174603174,482.71812289291734
0.6460317460317461,7.0,0.5634920634920635,415.4220852536967
0.753968253968254,5.0,0.8301587301587301,482.71812289291734
0.5444444444444444,4.0,0.5952380952380952,415.4220852536967
0.8555555555555556,5.0,0.8047619047619048,482.71812289291734
0.6460317460317461,7.0,0.5698412698412698,415.4220852536967
0.8555555555555556,5.0,0.8301587301587301,482.71812289291734
0.6460317460317461,6.0,0.5698412698412698,415.4220852536967
0.753968253968254,7.0,0.8555555555555556,482.71812289291734
0.5444444444444444,6.0,0.5698412698412698,415.4220852536967
0.753968253968254,7.0,0.8047619047619048,482.71812289291734
